source,target,prediction
The patient report severe dyspnea and bilateral lower extremity edema following administration of intravenous furosemide.,The patient reported severe dyspnea and bilateral lower extremity edema following administration of intravenous furosemide.,The patient reports severe dyspnea and bilateral lower extremity edema following the administration of intravenous furosemide.
No signs of cellulitis or necrotizing fasciitis were find during the comprehensive dermatological examination.,No signs of cellulitis or necrotizing fasciitis were found during the comprehensive dermatological examination.,No signs of cellulitis or necrotizing fasciitis were found during the comprehensive dermatological examination.
He is taking metformin hydrochloride and lisinopril since the diagnosis of diabetes mellitus type 2 was established two weeks ago.,He has been taking metformin hydrochloride and lisinopril for two weeks since the diagnosis of diabetes mellitus type 2 was established.,He has been taking metformin hydrochloride and lisinopril since the diagnosis of diabetes mellitus type 2 was established two weeks ago.
Patient not responding to first-line antibiotic therapy with amoxicillin-clavulanate for community-acquired pneumonia.,The patient is not responding to first-line antibiotic therapy with amoxicillin-clavulanate for community-acquired pneumonia.,The patient is not responding to first-line antibiotic therapy with amoxicillin-clavulanate for community-acquired pneumonia.
She have been experiencing chronic fatigue syndrome and fibromyalgia-related myalgia for several months.,She has been experiencing chronic fatigue syndrome and fibromyalgia-related myalgia for several months.,She has been experiencing chronic fatigue syndrome and fibromyalgia-related myalgia for several months.
The surgical wound was irrigated with normal saline and covered on sterile gauze following debridement of necrotic tissue.,The surgical wound was irrigated with normal saline and covered with sterile gauze following debridement of necrotic tissue.,"The surgical wound was irrigated with normal saline, and it was covered by sterile gauze following the debridement of necrotic tissue."
Patient is experiencing severe cephalgia accompanied by photophobia and phonophobia consistent with migraine headache.,The patient is experiencing severe cephalgia accompanied by photophobia and phonophobia consistent with migraine headache.,"The patient is experiencing severe cephalgia, accompanied by photophobia and phonophobia, which is consistent with a migraine headache."
The immunosuppressive therapy with tacrolimus and mycophenolate mofetil is working good for preventing organ rejection.,The immunosuppressive therapy with tacrolimus and mycophenolate mofetil is working well for preventing organ rejection.,The immunosuppressive therapy with tacrolimus and mycophenolate mofetil works well for preventing organ rejection.
There is many cases of methicillin-resistant Staphylococcus aureus reported in the intensive care unit this month.,There are many cases of methicillin-resistant Staphylococcus aureus reported in the intensive care unit this month.,There are many cases of methicillin-resistant Staphylococcus aureus reported in the intensive care unit this month.
The pulmonologist examine the patient for suspected idiopathic pulmonary fibrosis using high-resolution computed tomography.,The pulmonologist examined the patient for suspected idiopathic pulmonary fibrosis using high-resolution computed tomography.,The pulmonologist examines the patient for suspected idiopathic pulmonary fibrosis using high-resolution computed tomography.
He complained from retrosternal chest pain radiating to the left shoulder and associated with diaphoresis.,He complained of retrosternal chest pain radiating to the left shoulder and associated with diaphoresis.,"He complained of retrosternal chest pain that radiated to the left shoulder, and it was associated with diaphoresis."
The contrast-enhanced magnetic resonance imaging scan show a herniated nucleus pulposus at the L4-L5 vertebral level.,The contrast-enhanced magnetic resonance imaging scan showed a herniated nucleus pulposus at the L4-L5 vertebral level.,The contrast-enhanced magnetic resonance imaging scans show a herniated nucleus pulposus at the L4-L5 vertebral level.
Magnetic resonance angiography scan was done to evaluate for cerebral aneurysm and arteriovenous malformation.,A magnetic resonance angiography scan was done to evaluate for cerebral aneurysm and arteriovenous malformation.,A magnetic resonance angiography scan was performed to evaluate for cerebral aneurysms and arteriovenous malformations.
